,user,type,subtype,ts,text,inviter,client_msg_id,team,user_team,source_team,user_profile,reactions,attachments,files,upload,display_as_bot
0,UNPEBLGE4,message,channel_join,1573515156.0002,<@UNPEBLGE4> has joined the channel,,,,,,,,,,,
1,UQA6D5YFR,message,channel_join,1573515165.0004,<@UQA6D5YFR> has joined the channel,UNPEBLGE4,,,,,,,,,,
2,UQGHE5U0N,message,channel_join,1573520127.0006,<@UQGHE5U0N> has joined the channel,UNPEBLGE4,,,,,,,,,,
3,UQDPTDNKW,message,channel_join,1573520127.0008,<@UQDPTDNKW> has joined the channel,UNPEBLGE4,,,,,,,,,,
4,UQEAN2PA9,message,channel_join,1573520127.001,<@UQEAN2PA9> has joined the channel,UNPEBLGE4,,,,,,,,,,
5,UQ6CWJU1X,message,channel_join,1573520128.0012,<@UQ6CWJU1X> has joined the channel,UNPEBLGE4,,,,,,,,,,
6,UQ2RLT06P,message,channel_join,1573520128.0014,<@UQ2RLT06P> has joined the channel,UNPEBLGE4,,,,,,,,,,
7,UQEC7USN9,message,channel_join,1573520128.0016,<@UQEC7USN9> has joined the channel,UNPEBLGE4,,,,,,,,,,
8,UQEBATVUY,message,channel_join,1573520128.0018,<@UQEBATVUY> has joined the channel,UNPEBLGE4,,,,,,,,,,
9,UQEAMPU80,message,channel_join,1573520128.002,<@UQEAMPU80> has joined the channel,UNPEBLGE4,,,,,,,,,,
10,UQ6ACT40H,message,channel_join,1573520128.0022,<@UQ6ACT40H> has joined the channel,UNPEBLGE4,,,,,,,,,,
11,UQECP3ZL5,message,channel_join,1573520424.0024,<@UQECP3ZL5> has joined the channel,UNPEBLGE4,,,,,,,,,,
12,UNPEBLGE4,message,,1573520537.0027,Hi <!channel>,,7c1890cb-3423-437b-a997-db580aaff261,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'gace7a247a6d', 'image_72': 'https://secure.gravatar.com/avatar/ace7a247a6d95227d558d9e6b36b6c56.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0015-72.png', 'first_name': 'Moderator', 'real_name': 'Moderator', 'display_name': 'Moderator', 'team': 'TNRA2UMM5', 'name': 'viralpasad', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
13,UQEC7USN9,message,,1573520545.0031,Hello,,509fbbbe-9e1f-4917-8a53-a54d28bdd527,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g5ae44517875', 'image_72': 'https://secure.gravatar.com/avatar/5ae4451787555230052a35cf6fb64bac.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0007-72.png', 'first_name': 'Nastaran', 'real_name': 'Nastaran', 'display_name': 'Sam Martha', 'team': 'TNRA2UMM5', 'name': 'nkhalili', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
14,UQEAMPU80,message,,1573520549.0033,Hello there,,4a4e250e-b33d-4f54-90bd-cd37fe6c175d,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'gee17d6e734b', 'image_72': 'https://secure.gravatar.com/avatar/ee17d6e734b5c505b9565f9680fab143.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0002-72.png', 'first_name': '', 'real_name': 'Senpai', 'display_name': 'Senpai', 'team': 'TNRA2UMM5', 'name': 'tausiftt52', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
15,UNPEBLGE4,message,,1573520557.0035,"Thank you for joining this conversation/chat room. Certain snippets from this conversation may be recorded for a short while before being safely discarded. However, no personal identifier will be associated with the data. When you are finished with the task, you shall be asked certain questions in the form an online survey. After that, you shall be compensated with the 10$ Amazon Gift Card within 5 business days.",,b63c8ceb-66f8-4725-bacb-c607fe6d0a20,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'gace7a247a6d', 'image_72': 'https://secure.gravatar.com/avatar/ace7a247a6d95227d558d9e6b36b6c56.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0015-72.png', 'first_name': 'Moderator', 'real_name': 'Moderator', 'display_name': 'Moderator', 'team': 'TNRA2UMM5', 'name': 'viralpasad', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
16,UQEAMPU80,message,,1573520603.0038,okay,,b94b99d6-aa5e-4323-952a-170d97089acf,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'gee17d6e734b', 'image_72': 'https://secure.gravatar.com/avatar/ee17d6e734b5c505b9565f9680fab143.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0002-72.png', 'first_name': '', 'real_name': 'Senpai', 'display_name': 'Senpai', 'team': 'TNRA2UMM5', 'name': 'tausiftt52', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
17,UQ6ACT40H,message,,1573520606.004,ok,,ae8009ae-54a1-411e-ada5-7e16509802cf,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g2225f23ac69', 'image_72': 'https://secure.gravatar.com/avatar/2225f23ac69189aa5df0115bf3ee293b.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0021-72.png', 'first_name': 'Sonam', 'real_name': 'Sonam D', 'display_name': 'Sydney Lee', 'team': 'TNRA2UMM5', 'name': 'sonamsd', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
18,UQGHE5U0N,message,,1573520609.0042,okay,,8c025665-a60a-4a42-9e8b-2c0505da10f1,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'gdc6726fe066', 'image_72': 'https://secure.gravatar.com/avatar/dc6726fe06607978569d1f6d4c09ccca.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0004-72.png', 'first_name': 'Alex', 'real_name': 'Alex Richards', 'display_name': '', 'team': 'TNRA2UMM5', 'name': 'samiha17', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
19,UQDPTDNKW,message,,1573520612.0046,Ok,,8a201fa9-2675-4215-9200-4f3dcf9b7629,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g6b8014dcc81', 'image_72': 'https://secure.gravatar.com/avatar/6b8014dcc813811ac45237927174fc77.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0006-72.png', 'first_name': 'Mark', 'real_name': 'Mark Lawerence', 'display_name': 'Mark Lawerence', 'team': 'TNRA2UMM5', 'name': 'abhimanyu16', 'is_restricted': False, 'is_ultra_restricted': False}",,,,,
